"","id",".pred_class"
"126",568,"1"
"127",573,"1"
"128",577,"1"
"129",579,"3"
"130",580,"1"
"131",584,"1"
"132",588,"3"
"133",590,"3"
"134",594,"1"
"135",595,"3"
"136",601,"1"
"137",602,"3"
"138",604,"3"
"139",614,"1"
"140",621,"1"
"141",622,"3"
"142",627,"3"
"143",636,"1"
"144",639,"1"
"145",640,"3"
"146",643,"1"
"147",646,"3"
"148",650,"3"
"149",651,"3"
"150",653,"1"
"151",654,"1"
"152",662,"1"
"153",670,"1"
"154",671,"3"
"155",682,"1"
"156",689,"1"
"157",692,"3"
"158",694,"3"
"159",696,"1"
"160",700,"1"
"161",707,"1"
"162",710,"1"
"163",713,"3"
"164",715,"1"
"165",718,"1"
"166",720,"3"
"167",725,"1"
"168",732,"3"
"169",736,"3"
"170",741,"1"
"171",744,"1"
"172",745,"1"
"173",748,"1"
"174",753,"3"
"175",756,"1"
"176",758,"3"
"177",759,"1"
"178",762,"1"
"179",763,"1"
"180",764,"1"
"181",765,"1"
"182",771,"3"
"183",781,"1"
"184",789,"3"
"185",792,"3"
"186",794,"3"
"187",797,"3"
"188",798,"1"
"189",799,"1"
"190",800,"1"
"191",803,"1"
"192",805,"3"
"193",806,"1"
"194",807,"1"
"195",811,"1"
"196",816,"1"
"197",820,"3"
"198",822,"1"
"199",824,"1"
"200",825,"1"
"201",831,"1"
"202",834,"1"
"203",836,"1"
"204",841,"1"
"205",844,"1"
"206",847,"3"
"207",852,"3"
"208",859,"3"
"209",865,"1"
"210",867,"3"
"211",871,"3"
"212",873,"1"
"213",874,"1"
"214",875,"3"
"215",882,"1"
"216",884,"1"
"217",895,"3"
"218",903,"1"
"219",904,"1"
"220",906,"1"
"221",909,"1"
"222",911,"3"
"223",912,"1"
"224",913,"1"
"225",917,"3"
"226",919,"3"
"227",922,"1"
"228",924,"3"
"229",926,"1"
"230",927,"3"
"231",928,"1"
"232",932,"3"
"233",943,"1"
"234",947,"1"
"235",955,"1"
"236",958,"1"
"237",960,"3"
"238",962,"3"
"239",963,"3"
"240",966,"1"
"241",970,"1"
"242",972,"1"
"243",973,"1"
"244",979,"1"
"245",984,"3"
"246",986,"1"
"247",987,"1"
"248",988,"1"
"249",993,"3"
"250",995,"1"
"251",1002,"1"
"252",1007,"1"
"253",1010,"1"
"254",1013,"3"
"255",1018,"3"
"256",1022,"1"
"257",1027,"3"
"258",1030,"1"
"259",1040,"1"
"260",1045,"3"
"261",1046,"3"
"262",1047,"1"
"263",1048,"1"
"264",1049,"3"
"265",1052,"1"
"266",1053,"1"
"267",1055,"3"
"268",1058,"1"
"269",1059,"3"
"270",1062,"1"
"271",1085,"1"
"272",1086,"3"
"273",1092,"3"
"274",1097,"3"
"275",1100,"1"
"276",1102,"3"
"277",1106,"1"
"278",1115,"3"
"279",1117,"3"
"280",1121,"3"
"281",1126,"1"
"282",1130,"3"
"283",1134,"3"
"284",1135,"1"
"285",1141,"3"
"286",1148,"1"
"287",1149,"1"
"288",1152,"3"
"289",1156,"3"
"290",1157,"1"
"291",1158,"1"
"292",1162,"3"
"293",1163,"3"
"294",1164,"1"
"295",1165,"1"
"296",1168,"1"
"297",1172,"1"
"298",1177,"1"
"299",1179,"3"
"300",1182,"1"
"301",1188,"3"
"302",1204,"3"
"303",1205,"1"
"304",1212,"3"
"305",1218,"3"
"306",1228,"3"
"307",1233,"3"
"308",1234,"1"
"309",1236,"1"
"310",1237,"1"
"311",1244,"1"
"312",1245,"1"
"313",1248,"1"
"314",1258,"1"
"315",1263,"1"
"316",1264,"3"
"317",1265,"1"
"318",1266,"1"
"319",1269,"1"
"320",1272,"3"
"321",1277,"3"
"322",1284,"3"
"323",1285,"1"
"324",1288,"1"
"325",1290,"1"
"326",1302,"1"
"327",1306,"1"
"328",1307,"3"
"329",1309,"1"
"330",1312,"1"
"331",1313,"3"
"332",1315,"3"
"333",1319,"1"
"334",1322,"1"
"335",1327,"3"
"336",1331,"3"
"337",1333,"1"
"338",1336,"1"
"339",1338,"3"
"340",1346,"1"
"341",1350,"3"
"342",1359,"1"
"343",1362,"1"
"344",1365,"1"
"345",1380,"3"
"346",1384,"1"
"347",1387,"1"
"348",1391,"3"
"349",1394,"3"
"350",1401,"3"
"351",1405,"1"
"352",1407,"1"
"353",1415,"1"
"354",1423,"3"
"355",1426,"3"
"356",1438,"1"
"357",1439,"1"
"358",1440,"3"
"359",1443,"3"
"360",1445,"1"
"361",1446,"1"
"362",1447,"3"
"363",1448,"1"
"364",1450,"1"
"365",1453,"1"
"366",1465,"1"
"367",1467,"1"
"368",1470,"3"
"369",1471,"1"
"370",1475,"3"
"371",1476,"1"
"372",1488,"1"
"373",1492,"3"
"374",1496,"3"
"375",1501,"3"
"376",1512,"1"
"377",1518,"1"
"378",1521,"1"
"379",1522,"3"
"380",1526,"3"
"381",1530,"1"
"382",1534,"1"
"383",1535,"1"
"384",1537,"3"
"385",1544,"1"
"386",1545,"3"
"387",1549,"1"
"388",1560,"3"
"389",1567,"1"
"390",1568,"3"
"391",1571,"1"
"392",1577,"1"
"393",1579,"1"
"394",1584,"3"
"395",1586,"1"
"396",1587,"1"
"397",1594,"3"
"398",1597,"1"
"399",1598,"3"
"400",1604,"3"
"401",1607,"3"
"402",1610,"1"
"403",1621,"1"
"404",1626,"1"
"405",1632,"1"
"406",1638,"3"
"407",1645,"1"
"408",1646,"1"
"409",1649,"1"
"410",1656,"1"
"411",1658,"1"
"412",1661,"1"
"413",1664,"1"
"414",1670,"3"
"415",1680,"1"
"416",1686,"1"
"417",1691,"1"
"418",1692,"3"
"419",1707,"3"
"420",1712,"3"
"421",1713,"1"
"422",1714,"1"
"423",1717,"1"
"424",1719,"1"
"425",1720,"1"
"426",1725,"1"
"427",1727,"1"
"428",1735,"1"
"429",1743,"3"
"430",1748,"1"
"431",1754,"1"
"432",1755,"1"
"433",1756,"3"
"434",1757,"3"
"435",1758,"1"
"436",1766,"1"
"437",1767,"1"
"438",1776,"1"
"439",1777,"1"
"440",1781,"1"
"441",1788,"1"
"442",1791,"1"
"443",1792,"1"
"444",1794,"3"
"445",1795,"3"
"446",1797,"1"
"447",1800,"1"
"448",1810,"1"
"449",1811,"3"
"450",1812,"3"
"451",1814,"1"
"452",1816,"3"
"453",1827,"1"
"454",1828,"1"
"455",1831,"3"
"456",1833,"1"
"457",1835,"1"
"458",1844,"1"
"459",1848,"1"
"460",1849,"1"
"461",1854,"1"
"462",1857,"3"
"463",1858,"1"
"464",1860,"3"
"465",1861,"3"
"466",1864,"1"
"467",1865,"3"
"468",1870,"1"
"469",1871,"1"
"470",1878,"3"
"471",1879,"3"
"472",1887,"1"
"473",1893,"3"
"474",1905,"1"
"475",1912,"3"
"476",1913,"1"
"477",1914,"1"
"478",1916,"1"
"479",1918,"1"
"480",1925,"1"
"481",1926,"1"
"482",1934,"1"
"483",1935,"1"
"484",1938,"1"
"485",1945,"3"
"486",1947,"1"
"487",1948,"1"
"488",1955,"3"
"489",1962,"1"
"490",1963,"3"
"491",1967,"3"
"492",1972,"3"
"493",1973,"1"
"494",1974,"1"
"495",1982,"1"
"496",1984,"3"
"497",1988,"1"
"498",1991,"1"
"499",1995,"1"
"500",1996,"1"
"501",2000,"3"
"502",2005,"1"
"503",2016,"1"
"504",2039,"1"
"505",2044,"1"
"506",2047,"3"
"507",2048,"3"
"508",2049,"1"
"509",2051,"3"
"510",2053,"3"
"511",2055,"3"
"512",2059,"3"
"513",2066,"3"
"514",2074,"1"
"515",2076,"3"
"516",2079,"3"
"517",2081,"1"
"518",2083,"3"
"519",2087,"1"
"520",2101,"1"
"521",2102,"3"
"522",2104,"1"
"523",2108,"3"
"524",2114,"1"
"525",2118,"3"
"526",2122,"3"
"527",2128,"1"
"528",2129,"1"
"529",2130,"3"
"530",2137,"1"
"531",2139,"1"
"532",2146,"1"
"533",2149,"1"
"534",2151,"1"
"535",2158,"3"
"536",2159,"1"
"537",2165,"3"
"538",2166,"3"
"539",2169,"1"
"540",2172,"3"
"541",2181,"1"
"542",2184,"1"
"543",2185,"1"
"544",2188,"1"
"545",2191,"1"
"546",2192,"1"
"547",2194,"1"
"548",2196,"1"
"549",2206,"1"
"550",2209,"1"
"551",2212,"1"
"552",2215,"1"
"553",2224,"1"
"554",2231,"1"
"555",2235,"3"
"556",2243,"1"
"557",2245,"3"
"558",2246,"1"
"559",2248,"3"
"560",2250,"3"
"561",2254,"1"
"562",2260,"1"
"563",2270,"1"
"564",2271,"1"
"565",2274,"1"
"566",2287,"3"
"567",2289,"1"
"568",2294,"3"
"569",2297,"3"
"570",2299,"1"
"571",2303,"1"
"572",2308,"1"
"573",2311,"3"
"574",2317,"1"
"575",2324,"1"
"576",2344,"1"
"577",2347,"1"
"578",2355,"1"
"579",2356,"3"
"580",2359,"1"
"581",2370,"1"
"582",2381,"1"
"583",2384,"3"
"584",2385,"1"
"585",2386,"1"
"586",2387,"1"
"587",2394,"1"
"588",2402,"3"
"589",2403,"3"
"590",2408,"1"
"591",2411,"3"
"592",2413,"1"
"593",2414,"1"
"594",2425,"1"
"595",2426,"1"
"596",2428,"3"
"597",2434,"1"
"598",2435,"1"
"599",2441,"3"
"600",2442,"1"
"601",2444,"1"
"602",2445,"3"
"603",2447,"3"
"604",2458,"1"
"605",2459,"1"
"606",2461,"1"
"607",2465,"3"
"608",2467,"1"
"609",2468,"1"
"610",2469,"1"
"611",2476,"3"
"612",2477,"3"
"613",2480,"3"
"614",2483,"1"
"615",2487,"1"
"616",2489,"1"
"617",2492,"1"
"618",2517,"3"
"619",2528,"1"
"620",2538,"1"
"621",2541,"1"
"622",2553,"1"
"623",2555,"3"
"624",2564,"3"
"625",2566,"1"
"626",2568,"1"
"627",2573,"3"
"628",2583,"1"
"629",2588,"3"
"630",2595,"3"
"631",2626,"1"
"632",2630,"1"
"633",2638,"1"
"634",2639,"1"
"635",2641,"1"
"636",2644,"1"
"637",2647,"3"
"638",2665,"3"
"639",2669,"3"
"640",2673,"1"
"641",2675,"1"
"642",2677,"3"
"643",2682,"3"
"644",2685,"3"
"645",2691,"1"
"646",2696,"1"
"647",2700,"1"
"648",2705,"3"
"649",2709,"3"
"650",2710,"3"
"651",2711,"1"
"652",2712,"1"
"653",2717,"3"
"654",2721,"1"
"655",2723,"3"
"656",2728,"3"
"657",2731,"1"
"658",2742,"3"
"659",2743,"3"
"660",2744,"1"
"661",2745,"1"
"662",2747,"1"
"663",2749,"3"
"664",2750,"3"
"665",2751,"3"
"666",2752,"3"
"667",2753,"3"
"668",2758,"3"
"669",2764,"1"
"670",2765,"3"
"671",2774,"1"
"672",2776,"3"
"673",2778,"3"
"674",2786,"3"
"675",2800,"3"
"676",2813,"1"
"677",2814,"3"
"678",2816,"1"
"679",2818,"1"
"680",2820,"1"
"681",2828,"1"
"682",2835,"1"
"683",2839,"1"
"684",2841,"3"
"685",2842,"1"
"686",2847,"1"
"687",2861,"1"
"688",2867,"1"
"689",2874,"3"
"690",2877,"3"
"691",2880,"3"
"692",2882,"1"
"693",2887,"3"
"694",2894,"3"
"695",2896,"3"
"696",2897,"3"
"697",2902,"1"
"698",2903,"3"
"699",2910,"1"
"700",2913,"1"
"701",2914,"1"
"702",2921,"1"
"703",2928,"1"
"704",2930,"3"
"705",2934,"1"
"706",2937,"1"
"707",2943,"3"
"708",2944,"1"
"709",2945,"3"
"710",2946,"1"
"711",2949,"1"
"712",2958,"3"
"713",2964,"1"
"714",2968,"1"
"715",2969,"3"
"716",2970,"1"
"717",2973,"1"
"718",2976,"3"
"719",2983,"3"
"720",2984,"1"
"721",2985,"1"
"722",2989,"1"
"723",2991,"1"
"724",2998,"1"
"725",2999,"1"
"726",3003,"1"
"727",3008,"1"
"728",3013,"1"
"729",3017,"1"
"730",3023,"3"
"731",3025,"1"
"732",3029,"3"
"733",3034,"1"
"734",3041,"3"
"735",3047,"1"
"736",3048,"1"
"737",3051,"1"
"738",3052,"3"
"739",3061,"3"
"740",3063,"1"
"741",3065,"3"
"742",3066,"1"
"743",3068,"1"
"744",3069,"3"
"745",3070,"3"
"746",3071,"1"
"747",3072,"1"
"748",3073,"1"
"749",3076,"1"
"750",3079,"1"
"751",3084,"1"
"752",3085,"1"
"753",3086,"1"
"754",3088,"3"
"755",3093,"3"
"756",3102,"1"
"757",3108,"3"
"758",3113,"1"
"759",3114,"1"
"760",3119,"1"
"761",3124,"1"
"762",3133,"1"
"763",3134,"1"
"764",3137,"3"
"765",3139,"1"
"766",3143,"1"
"767",3162,"1"
"768",3171,"1"
"769",3174,"3"
"770",3185,"3"
"771",3186,"3"
"772",3187,"1"
"773",3193,"1"
"774",3196,"1"
"775",3197,"1"
"776",3207,"1"
"777",3216,"1"
"778",3218,"3"
"779",3219,"1"
"780",3220,"3"
"781",3222,"1"
"782",3224,"1"
"783",3227,"1"
"784",3231,"3"
"785",3235,"3"
"786",3236,"1"
"787",3238,"1"
"788",3241,"3"
"789",3243,"1"
"790",3245,"1"
"791",3251,"3"
"792",3258,"1"
"793",3267,"1"
"794",3269,"1"
"795",3274,"1"
"796",3276,"1"
"797",3285,"1"
"798",3286,"1"
"799",3292,"3"
"800",3295,"3"
"801",3299,"3"
"802",3303,"1"
"803",3307,"1"
"804",3312,"3"
"805",3313,"1"
"806",3315,"1"
"807",3318,"1"
"808",3324,"1"
"809",3328,"1"
"810",3329,"3"
"811",3332,"1"
"812",3337,"1"
"813",3338,"3"
"814",3340,"3"
"815",3344,"3"
"816",3349,"1"
"817",3351,"3"
"818",3354,"1"
"819",3355,"3"
"820",3358,"1"
"821",3360,"3"
"822",3363,"3"
"823",3365,"3"
"824",3366,"3"
"825",3368,"3"
"826",3375,"1"
"827",3386,"1"
"828",3387,"1"
"829",3402,"3"
"830",3404,"1"
"831",3408,"3"
"832",3421,"3"
"833",3422,"1"
"834",3426,"1"
"835",3430,"1"
"836",3431,"1"
"837",3433,"1"
"838",3436,"1"
"839",3437,"1"
"840",3444,"3"
"841",3445,"1"
"842",3455,"1"
"843",3456,"1"
"844",3460,"3"
"845",3465,"3"
"846",3474,"3"
"847",3476,"1"
"848",3477,"1"
"849",3479,"1"
"850",3480,"1"
"851",3490,"3"
"852",3492,"1"
"853",3493,"3"
"854",3502,"3"
"855",3505,"3"
"856",3512,"1"
"857",3515,"3"
"858",3516,"1"
"859",3517,"1"
"860",3525,"3"
"861",3527,"1"
"862",3535,"1"
"863",3542,"3"
"864",3547,"1"
"865",3555,"3"
"866",3556,"3"
"867",3557,"1"
"868",3559,"3"
"869",3563,"1"
"870",3565,"3"
"871",3566,"1"
"872",3569,"1"
"873",3574,"1"
"874",3575,"1"
"875",3582,"1"
"876",3583,"3"
"877",3586,"1"
"878",3591,"3"
"879",3595,"1"
"880",3600,"3"
"881",3601,"1"
"882",3604,"1"
"883",3605,"3"
"884",3607,"1"
"885",3610,"1"
"886",3619,"1"
"887",3630,"1"
"888",3631,"1"
"889",3639,"3"
"890",3642,"3"
"891",3643,"3"
"892",3645,"1"
"893",3646,"3"
"894",3654,"3"
"895",3661,"1"
"896",3667,"3"
"897",3670,"1"
"898",3683,"1"
"899",3691,"3"
"900",3692,"1"
"901",3693,"3"
"902",3694,"1"
"903",3695,"3"
"904",3698,"3"
"905",3700,"1"
"906",3704,"1"
"907",3713,"1"
"908",3719,"3"
"909",3721,"1"
"910",3722,"1"
"911",3726,"3"
"912",3728,"3"
"913",3736,"1"
"914",3738,"1"
"915",3739,"1"
"916",3740,"1"
"917",3742,"1"
"918",3743,"1"
"919",3745,"1"
"920",3750,"1"
"921",3769,"3"
"922",3770,"3"
"923",3772,"3"
"924",3776,"3"
"925",3781,"1"
"926",3786,"1"
"927",3790,"3"
"928",3794,"1"
"929",3800,"1"
"930",3801,"3"
"931",3803,"1"
"932",3807,"1"
"933",3812,"3"
"934",3813,"3"
"935",3817,"1"
"936",3827,"1"
"937",3829,"1"
"938",3835,"3"
"939",3836,"1"
"940",3838,"3"
"941",3840,"1"
"942",3848,"3"
"943",3849,"1"
"944",3854,"1"
"945",3855,"3"
"946",3859,"1"
"947",3860,"3"
"948",3862,"1"
"949",3863,"1"
"950",3865,"1"
"951",3866,"1"
"952",3872,"3"
"953",3876,"1"
"954",3880,"1"
"955",3881,"1"
"956",3882,"1"
"957",3888,"1"
"958",3893,"1"
"959",3897,"1"
"960",3901,"1"
"961",3904,"3"
"962",3905,"3"
"963",3910,"3"
"964",3921,"1"
"965",3929,"3"
"966",3936,"3"
"967",3938,"3"
"968",3940,"1"
"969",3943,"3"
"970",3951,"3"
"971",3955,"1"
"972",3966,"1"
"973",3967,"3"
"974",3976,"3"
"975",3980,"1"
"976",3983,"1"
"977",3998,"1"
"978",4004,"1"
"979",4008,"3"
"980",4013,"1"
"981",4016,"3"
"982",4032,"3"
"983",4035,"3"
"984",4043,"3"
"985",4045,"1"
"986",4049,"1"
"987",4058,"1"
"988",4062,"3"
"989",4065,"1"
"990",4069,"3"
"991",4070,"1"
"992",4073,"1"
"993",4074,"1"
"994",4078,"1"
"995",4079,"1"
"996",4082,"1"
"997",4088,"1"
"998",4090,"1"
"999",4093,"3"
"1000",4107,"1"
"1001",4108,"1"
"1002",4109,"1"
"1003",4111,"1"
"1004",4124,"1"
"1005",4125,"1"
"1006",4139,"1"
"1007",4147,"3"
"1008",4151,"1"
"1009",4156,"3"
"1010",4157,"1"
"1011",4159,"3"
"1012",4161,"1"
"1013",4164,"3"
"1014",4165,"1"
"1015",4167,"3"
"1016",4168,"1"
"1017",4170,"1"
"1018",4171,"1"
"1019",4175,"3"
"1020",4179,"3"
"1021",4180,"1"
"1022",4183,"1"
"1023",4187,"1"
"1024",4190,"3"
"1025",4196,"1"
"1026",4199,"3"
"1027",4202,"1"
"1028",4211,"3"
"1029",4221,"1"
"1030",4230,"1"
"1031",4232,"3"
"1032",4235,"3"
"1033",4239,"3"
"1034",4242,"3"
"1035",4244,"1"
"1036",4246,"1"
"1037",4249,"1"
"1038",4258,"1"
"1039",4271,"1"
"1040",4273,"3"
"1041",4277,"1"
"1042",4279,"1"
"1043",4282,"3"
"1044",4296,"3"
"1045",4298,"1"
"1046",4305,"1"
"1047",4308,"3"
"1048",4311,"3"
"1049",4312,"3"
"1050",4315,"1"
"1051",4316,"1"
"1052",4336,"3"
"1053",4339,"1"
"1054",4342,"1"
"1055",4348,"1"
"1056",4353,"1"
"1057",4355,"3"
"1058",4359,"1"
"1059",4361,"1"
"1060",4363,"1"
"1061",4365,"3"
"1062",4380,"3"
"1063",4386,"1"
"1064",4395,"1"
"1065",4397,"1"
"1066",4399,"1"
"1067",4400,"1"
"1068",4401,"3"
"1069",4410,"3"
"1070",4413,"1"
"1071",4418,"1"
"1072",4422,"1"
"1073",4424,"3"
"1074",4430,"3"
"1075",4433,"3"
"1076",4440,"3"
"1077",4441,"1"
"1078",4444,"1"
"1079",4448,"3"
"1080",4458,"1"
"1081",4467,"3"
"1082",4471,"3"
"1083",4474,"1"
"1084",4485,"3"
"1085",4487,"1"
"1086",4492,"1"
"1087",4498,"1"
"1088",4503,"1"
"1089",4504,"3"
"1090",4505,"1"
"1091",4514,"3"
"1092",4515,"1"
"1093",4523,"1"
"1094",4525,"1"
"1095",4529,"1"
"1096",4531,"1"
"1097",4532,"1"
"1098",4537,"3"
"1099",4538,"1"
"1100",4548,"3"
"1101",4551,"3"
"1102",4558,"1"
"1103",4566,"3"
"1104",4567,"3"
"1105",4569,"3"
"1106",4570,"3"
"1107",4572,"1"
"1108",4573,"1"
"1109",4574,"3"
"1110",4575,"1"
"1111",4576,"1"
"1112",4587,"1"
"1113",4589,"1"
"1114",4590,"3"
"1115",4592,"1"
"1116",4603,"1"
"1117",4607,"3"
"1118",4612,"3"
"1119",4616,"1"
"1120",4621,"3"
"1121",4622,"1"
"1122",4626,"1"
"1123",4627,"1"
"1124",4633,"3"
"1125",4654,"1"
"1126",4661,"1"
"1127",4665,"1"
"1128",4666,"3"
"1129",4672,"1"
"1130",4676,"1"
"1131",4678,"1"
"1132",4679,"1"
"1133",4686,"1"
"1134",4695,"3"
"1135",4703,"1"
"1136",4713,"1"
"1137",4714,"3"
"1138",4716,"1"
"1139",4720,"3"
"1140",4729,"3"
"1141",4734,"3"
"1142",4742,"3"
"1143",4744,"1"
"1144",4746,"1"
"1145",4756,"1"
"1146",4758,"3"
"1147",4759,"1"
"1148",4762,"1"
"1149",4768,"3"
"1150",4773,"1"
"1151",4778,"1"
"1152",4779,"1"
"1153",4783,"3"
"1154",4784,"1"
"1155",4787,"3"
"1156",4791,"1"
"1157",4793,"1"
"1158",4796,"1"
"1159",4798,"1"
"1160",4810,"3"
"1161",4811,"1"
"1162",4816,"1"
"1163",4819,"1"
"1164",4820,"1"
"1165",4821,"1"
"1166",4824,"1"
"1167",4832,"1"
"1168",4833,"3"
"1169",4839,"3"
"1170",4840,"1"
"1171",4842,"3"
"1172",4844,"3"
"1173",4846,"3"
"1174",4847,"1"
"1175",4849,"1"
"1176",4850,"3"
"1177",4859,"1"
"1178",4870,"1"
"1179",4871,"3"
"1180",4876,"3"
"1181",4879,"3"
"1182",4880,"1"
"1183",4894,"1"
"1184",4898,"3"
"1185",4899,"1"
"1186",4909,"1"
"1187",4913,"3"
"1188",4919,"1"
"1189",4921,"3"
"1190",4925,"1"
"1191",4929,"1"
"1192",4939,"1"
"1193",4941,"3"
"1194",4946,"1"
"1195",4947,"1"
"1196",4948,"1"
"1197",4949,"3"
"1198",4953,"1"
"1199",4956,"1"
"1200",4960,"1"
"1201",4961,"1"
"1202",4967,"1"
"1203",4971,"1"
"1204",4972,"3"
"1205",4977,"1"
"1206",4984,"3"
"1207",4985,"3"
"1208",4988,"3"
"1209",4991,"1"
"1210",4992,"1"
"1211",5000,"3"
"1212",5006,"1"
"1213",5011,"3"
"1214",5020,"3"
"1215",5024,"1"
"1216",5027,"3"
"1217",5033,"1"
"1218",5036,"3"
"1219",5037,"1"
"1220",5047,"1"
"1221",5050,"3"
"1222",5052,"1"
"1223",5059,"3"
"1224",5066,"3"
"1225",5068,"1"
"1226",5073,"1"
"1227",5079,"3"
"1228",5082,"3"
"1229",5084,"1"
"1230",5090,"1"
"1231",5092,"1"
"1232",5095,"1"
"1233",5097,"1"
"1234",5101,"1"
"1235",5120,"3"
"1236",5124,"1"
"1237",5125,"1"
"1238",5137,"1"
"1239",5139,"1"
"1240",5140,"3"
"1241",5144,"1"
"1242",5146,"3"
"1243",5150,"3"
"1244",5151,"1"
"1245",5155,"3"
"1246",5161,"1"
"1247",5167,"1"
"1248",5176,"3"
"1249",5177,"1"
"1250",5180,"1"
"1251",5186,"1"
"1252",5191,"1"
"1253",5192,"1"
"1254",5193,"3"
"1255",5195,"1"
"1256",5197,"3"
"1257",5205,"3"
"1258",5209,"1"
"1259",5210,"1"
"1260",5213,"1"
"1261",5223,"1"
"1262",5224,"1"
"1263",5227,"3"
"1264",5230,"1"
"1265",5231,"3"
"1266",5232,"3"
"1267",5247,"1"
"1268",5254,"1"
"1269",5256,"1"
"1270",5258,"3"
"1271",5268,"3"
"1272",5270,"3"
"1273",5271,"1"
"1274",5276,"3"
"1275",5287,"3"
"1276",5290,"1"
"1277",5292,"1"
"1278",5293,"1"
"1279",5295,"1"
"1280",5296,"1"
"1281",5300,"3"
"1282",5307,"1"
"1283",5310,"1"
"1284",5325,"1"
"1285",5330,"3"
"1286",5335,"3"
"1287",5344,"3"
"1288",5345,"1"
"1289",5348,"1"
"1290",5351,"1"
"1291",5361,"1"
"1292",5362,"1"
"1293",5367,"3"
"1294",5374,"1"
"1295",5381,"1"
"1296",5382,"1"
"1297",5383,"1"
"1298",5391,"1"
"1299",5398,"1"
"1300",5403,"1"
"1301",5406,"1"
"1302",5407,"1"
"1303",5408,"3"
"1304",5412,"3"
"1305",5417,"1"
"1306",5425,"3"
"1307",5426,"1"
"1308",5429,"1"
"1309",5436,"3"
"1310",5438,"1"
"1311",5445,"3"
"1312",5449,"3"
"1313",5453,"1"
"1314",5455,"1"
"1315",5459,"1"
"1316",5460,"1"
"1317",5462,"3"
"1318",5463,"3"
"1319",5464,"1"
"1320",5475,"1"
"1321",5476,"1"
"1322",5485,"3"
"1323",5488,"1"
"1324",5489,"3"
"1325",5499,"3"
"1326",5504,"3"
"1327",5507,"1"
"1328",5509,"1"
"1329",5510,"1"
"1330",5515,"3"
"1331",5519,"1"
"1332",5521,"3"
"1333",5528,"1"
"1334",5531,"3"
"1335",5532,"3"
"1336",5533,"1"
"1337",5544,"1"
"1338",5545,"1"
"1339",5547,"1"
"1340",5552,"3"
"1341",5553,"1"
"1342",5556,"1"
"1343",5560,"1"
"1344",5561,"1"
"1345",5563,"1"
"1346",5565,"1"
"1347",5569,"1"
"1348",5571,"1"
"1349",5578,"1"
"1350",5581,"1"
"1351",5585,"3"
"1352",5587,"1"
"1353",5600,"1"
"1354",5605,"1"
"1355",5615,"1"
"1356",5618,"1"
"1357",5619,"1"
"1358",5622,"1"
"1359",5624,"1"
"1360",5627,"3"
"1361",5629,"1"
"1362",5630,"3"
"1363",5632,"1"
"1364",5633,"1"
"1365",5634,"3"
"1366",5638,"1"
"1367",5641,"3"
"1368",5643,"3"
"1369",5644,"3"
"1370",5651,"1"
"1371",5659,"1"
"1372",5660,"1"
"1373",5661,"1"
"1374",5665,"1"
"1375",5671,"1"
"1376",5673,"1"
"1377",5682,"3"
"1378",5684,"3"
"1379",5694,"1"
"1380",5701,"1"
"1381",5703,"1"
"1382",5704,"1"
"1383",5707,"1"
"1384",5716,"1"
